A_T0	a_m a_m
KU_T3	ku u_l u_l
KU_T4	ku u_h u_l
KUA_T0	ku a_m a_m
KUA_T1	ku a_h a_h
KUA_T2	ku a_l a_h
KUA_T3	ku a_l a_l
KUA_T4	ku a_h a_l
KUAI_T0	ku a_m eh_m
KUAI_T1	ku a_h eh_h
KUAI_T2	ku a_l eh_h
KUAI_T3	ku a_l eh_l
KUAI_T4	ku a_h eh_l
KUAN_T0	ku a_m nn_m
KUAN_T1	ku a_h nn_h
KUAN_T2	ku a_l nn_h
KUAN_T3	ku a_l nn_l
KUAN_T4	ku a_h nn_l
KUANG_T0	ku aa_m ng_m
KUANG_T1	ku aa_h ng_h
KUANG_T2	ku aa_l ng_h
KUANG_T3	ku aa_l ng_l
KUANG_T4	ku aa_h ng_l
KUI_T0	ku eh_m i_m
KUI_T1	ku eh_h i_h
KUI_T2	ku eh_l i_h
KUI_T3	ku eh_l i_l
KUI_T4	ku eh_h i_l
KUN_T0	ku el_m nn_m
KUN_T1	ku el_h nn_h
KUN_T2	ku el_l nn_h
KUN_T3	ku el_l nn_l
KUN_T4	ku el_h nn_l
KUO_T0	ku o_m o_m
KUO_T1	ku o_h o_h
KUO_T2	ku o_l o_h
KUO_T3	ku o_l o_l
KUO_T4	ku o_h o_l
LA_T0	l a_m a_m
LA_T1	l a_h a_h
LA_T2	l a_l a_h
LA_T3	l a_l a_l
LA_T4	l a_h a_l
LAI_T0	l a_m eh_m
LAI_T1	l a_h eh_h
LAI_T2	l a_l eh_h
LAI_T3	l a_l eh_l
LAI_T4	l a_h eh_l
LAN_T0	l a_m nn_m
LAN_T1	l a_h nn_h
LAN_T2	l a_l nn_h
LAN_T3	l a_l nn_l
LAN_T4	l a_h nn_l
LANG_T0	l aa_m ng_m
LANG_T1	l aa_h ng_h
LANG_T2	l aa_l ng_h
LANG_T3	l aa_l ng_l
LANG_T4	l aa_h ng_l
LAO_T0	l aa_m o_m
LAO_T1	l aa_h o_h
LAO_T2	l aa_l o_h
LAO_T3	l aa_l o_l
LAO_T4	l aa_h o_l
LE_T0	l el_m el_m
LE_T1	l el_h el_h
LE_T2	l el_l el_h
LE_T3	l el_l el_l
LE_T4	l el_h el_l
LEI_T0	l eh_m i_m
LEI_T1	l eh_h i_h
LEI_T2	l eh_l i_h
LEI_T3	l eh_l i_l
LEI_T4	l eh_h i_l
LENG_T0	l el_m ng_m
LENG_T1	l el_h ng_h
LENG_T2	l el_l ng_h
LENG_T3	l el_l ng_l
LENG_T4	l el_h ng_l
LI_T0	li i_m i_m
LI_T1	li i_h i_h
LI_T2	li i_l i_h
LI_T3	li i_l i_l
LI_T4	li i_h i_l
LIA_T0	li a_m a_m
LIA_T1	li a_h a_h
LIA_T2	li a_l a_h
LIA_T3	li a_l a_l
LIA_T4	li a_h a_l
LIAN_T0	li a_m nn_m
LIAN_T1	li a_h nn_h
LIAN_T2	li a_l nn_h
LIAN_T3	li a_l nn_l
