动	DONG_T4
助	ZHU_T4
努	NU_T3
劫	JIE_T2
劬	QU_T2
劭	SHAO_T4
劮	YI_T4
劯	ZHU_T1
劰	MO_T4
励	LI_T4
劲	JING_T4;JIN_T4
劳	LAO_T2
労	LAO_T2
劵	JUAN_T4
劶	KOU_T3
劷	YANG_T2
劸	WA_T1
効	XIAO_T4
劺	MOU_T2
劼	JIE_T2
劽	LIE_T4
劾	HE_T2
势	SHI_T4;SHI_T0
勀	KE_T4
勂	GAO_T4
勃	BO_T2
勄	MIN_T3
勅	CHI_T4
勆	LANG_T2
勇	YONG_T3
勈	YONG_T3
勉	MIAN_T3
勊	KE_T4
勋	XUN_T1
勌	JUAN_T4
勍	QING_T2
勎	LU_T4
勏	BU_T4
勐	MENG_T3
勑	CHI_T4;LAI_T4
勒	LEI_T1;LE_T4
勓	KAI_T4
勔	MIAN_T3
勖	XU_T4
勘	KAN_T1
勚	YI_T4
勜	YANG_T3
募	MU_T4
勠	LU_T4
勡	PIAO_T4
勣	JI_T4
勤	QIN_T2
勥	QIANG_T3
勧	QUAN_T4
勨	XIANG_T4
勩	YI_T4
勪	QIAO_T1
勫	FAN_T1
勬	JUAN_T1
勭	TONG_T2
勮	JU_T4
勯	DAN_T1
勰	XIE_T2
勲	XUN_T1
勴	LV_T4
勶	CHE_T4
勷	XIANG_T1
勹	BAO_T1
勺	SHAO_T2
勼	JIU_T1
勽	BAO_T4
勾	GOU_T1;GOU_T4
勿	WU_T4
匀	YUN_T2
匂	XIONG_T1
匃	GAI_T4
匄	GAI_T4
包	BAO_T1
匆	CONG_T1
匈	XIONG_T1
匉	PENG_T1
匊	JU_T1
匋	YAO_T2
匌	GE_T2
匍	PU_T2
匎	E_T4
匏	PAO_T2
匐	FU_T2
匑	GONG_T1
匒	DA_T2
匓	JIU_T4
匔	GONG_T1
匕	BI_T3
化	HUA_T1;HUA_T4
北	BEI_T3
匘	NAO_T3
匙	CHI_T2;SHI_T2;SHI_T0
匚	FANG_T1;QU_T1
匛	JIU_T4
匜	YI_T2
匝	ZA_T1
匞	JIANG_T4
匠	JIANG_T4;JIANG_T0
匡	KUANG_T1
匢	HU_T1
匣	XIA_T2
匤	QU_T1
匥	FAN_T2
匦	GUI_T3
匧	QIE_T4
匨	ZANG_T1
匩	KUANG_T1
匪	FEI_T3
匫	HU_T1
匬	YU_T3
匮	KUI_T4
匰	DAN_T1
匲	LIAN_T2
匳	LIAN_T2
匵	DU_T2
匶	JIU_T4
匷	QU_T2
匸	XI_T4
匹	PI_T3
区	OU_T1;QU_T1
医	YI_T1
匼	KE_T1
匽	YAN_T4;YAN_T3
匾	BIAN_T3
匿	NI_T4
十	SHI_T2
卂	XUN_T4
千	QIAN_T1
卄	NIAN_T4
卅	SA_T4
卆	ZU_T2
升	SHENG_T1
午	WU_T3
卉	HUI_T4
半	BAN_T4;BAN_T0
卋	SHI_T4
卌	XI_T4
卍	WAN_T4
华	HUA_T1;HUA_T4;HUA_T2
协	XIE_T2
卐	WAN_T4
卑	BEI_T1
卒	CU_T4;ZU_T2
卓	ZHUO_T2
单	CHAN_T2;DAN_T1;SHAN_T4
卖	MAI_T4;MAI_T0
南	NA_T1;NAN_T2
単	DAN_T1
卙	JI_T2
博	BO_T2
卛	SHUAI_T4
卜	BO_T0;BU_T3
卝	KUANG_T4
卞	BIAN_T4
卟	BU_T3
占	ZHAN_T1;ZHAN_T4
卡	KA_T3;QIA_T3
卢	LU_T2
卣	YOU_T3
卤	LU_T3
卥	XI_T1
卦	GUA_T4
卧	WO_T4;WO_T0
卨	XIE_T4
卩	DAN_T1;JIE_T2
卪	JIE_T2
卫	WEI_T4
卬	ANG_T2;YANG_T3
卭	QIONG_T2
卮	ZHI_T1
卯	MAO_T3
印	YIN_T4
危	WEI_T1
卲	SHAO_T4
即	JI_T2
却	QUE_T4
卵	LUAN_T3
卶	CHI_T3
卷	JUAN_T4;JUAN_T3
卸	XIE_T4
卺	JIN_T3
卼	KUI_T4
卽	JI_T2
卾	E_T4
卿	QING_T1
厀	XI_T1
厁	SAN_T1
厂	AN_T1;CHANG_T3
厃	YAN_T2
厄	E_T4
厅	TING_T1
历	LI_T4
厇	ZHE_T2
厈	HAN_T3
厉	LI_T4
厊	YA_T3
压	YA_T1;YA_T4
厌	YA_T1;YAN_T4
厍	SHE_T4
厎	DI_T3
厏	ZHAI_T3
厐	PANG_T2
厑	TING_T1
厒	QIE_T4
厓	YA_T2
厔	ZHI_T4
厕	CE_T4;SI_T0
厖	MANG_T2
厗	TI_T2
厘	LI_T2
厚	HOU_T4
厛	TING_T1
